Distancia (Å),Energía (eV)
5.1,98.147608
5.15,51.07152747
5.2,28.29529553
5.25,15.35976443
5.3,7.39898662
5.35,2.29024895
5.4,-1.0560536
5.45,-3.26231414
5.5,-4.71112292
5.55,-5.64767907
5.6,-6.23398773
5.65,-6.5779109
5.7,-6.75238748
5.75,-6.80456446
5.8,-6.77273605
5.85,-6.67840395
5.9,-6.5406251
5.95,-6.36808809
6,-6.17236057
6.05,-5.96074634
6.1,-5.73913758
6.15,-5.51206073
6.2,-5.28319722
6.25,-5.05525102
6.3,-4.83036096
6.35,-4.60994304
6.4,-4.39322105
6.45,-4.18456986
6.5,-3.98260106
6.55,-3.78748758
6.6,-3.60121382
6.65,-3.42037616
6.7,-3.24688472
6.75,-3.0807396
6.8,-2.92201344
6.85,-2.77059949
6.9,-2.62643768
6.95,-2.48928298
7,-2.35896114
7.05,-2.23511407
7.1,-2.11756993
7.15,-2.00597526
7.2,-1.90013946
7.25,-1.79977951
7.3,-1.7047542
7.35,-1.61481927
7.4,-1.52985869
7.45,-1.44963064
7.5,-1.37399785
7.55,-1.30268097
7.6,-1.23550876
7.65,-1.17217787
7.7,-1.11250386
7.75,-1.05619405
7.8,-1.00310546
7.85,-0.95299751
7.9,-0.90578185
7.95,-0.86073704
8,-0.8188872
8.05,-0.77950975
8.1,-0.74249968
8.15,-0.70775689
8.2,-0.67516568
8.25,-0.64451436
8.3,-0.61573408
8.35,-0.58863105
8.4,-0.56316506
8.45,-0.5391852
8.5,-0.51667945
8.55,-0.49553333
8.6,-0.47577139
8.65,-0.45727676
8.7,-0.4400566
8.75,-0.42397504
8.8,-0.40901363
8.85,-0.39501746
8.9,-0.38195338
8.95,-0.36966569
9,-0.35815554
9.05,-0.34730614
9.1,-0.3371589
9.15,-0.32764196
9.2,-0.31882887
9.25,-0.3106682
9.3,-0.30322199
9.35,-0.29641681
9.4,-0.29029412
9.45,-0.28473901
9.5,-0.27975506
9.55,-0.27521585
9.6,-0.27113288
9.65,-0.26739111
9.7,-0.26400906
9.75,-0.26089246
9.8,-0.25810134
9.85,-0.25555762
9.9,-0.25332016
9.95,-0.25131707
10,-0.24959822
